,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
10,🔥 Dec 2nd.. #Ghana Gets Their Pay Back On #Suarez‼️ Ghana 🇬🇭 VS Uruguay 🇺🇾, dec 2nd ghana gets their pay back on suarez ghana vs uruguay ,0.0,0.0,negative,0.113,0.887,0.0,-0.1027,62,12
11,"Past 2:33pm in #Accra, #Ghana. 
Selections.
#233moments",past 2 33pm in accra ghana selections 233moments,-0.25,0.25,neutral,0.0,1.0,0.0,0.0,48,8
12,Together with @BusinessFinland we just had a meeting with CEO of Ghana Export - Import Bank. A great opportunity to continue discussions that took place during the high-level visit from #Ghana to #Finland in September. https://t.co/7IIBCOJq0y,together with we just had meeting with ceo of ghana export import bank great opportunity to continue discussions that took place during the high level visit from ghana to finland in september ,0.48000000000000004,0.645,positive,0.0,0.813,0.187,0.7845,192,32
13,"Contact us, let's discuss your Business objective this Xmas season. Contact us now and benefit from our Black Friday sales promo. 

Rush now while offer last.
#business #Accra #Ghana #onlineshopping https://t.co/aCqUxxEj2j",contact us let discuss your business objective this xmas season contact us now and benefit from our black friday sales promo rush now while offer last business accra ghana onlineshopping ,-0.05555555555555555,0.19999999999999998,positive,0.0,0.906,0.094,0.4588,187,30
14,"For the #Africa #Industrialization Index, manufacturing #value_added p/capita is more important than the size of the economy. #Djibouti #Benin #Mozambique #Senegal #Ethiopia #Guinea #Rwanda #Tanzania #Ghana #Uganda all improved by five+ places in the AII. https://t.co/KgFToBSwhR https://t.co/TYuKI2PIAJ",for the africa industrialization index manufacturing value added capita is more important than the size of the economy djibouti benin mozambique senegal ethiopia guinea rwanda tanzania ghana uganda all improved by five places in the aii ,0.45,0.75,positive,0.0,0.813,0.187,0.7645,237,36
15,"Xmas is coming, let's manage your page, spread your business online and reach more customers.

Contact us now: +233504775117

#woopghana #socialmediamarketing #digitalmarketing #business #Ghana https://t.co/lgTIhHXkNg",xmas is coming let manage your page spread your business online and reach more customers contact us now 233504775117 woopghana socialmediamarketing digitalmarketing business ghana ,0.5,0.5,neutral,0.0,0.954,0.046,0.0258,180,24
16,"Serviced land for sale at Ningo Prampram.

https://t.co/IdVjtJwbWn

@estatemastersgh 

To schedule a viewing or for further information information kindly contact the number on the property.

#meqasa #lands #realestate #ghana #landsgh #ghanano1propertywebsite https://t.co/FRV8uO5yfy",serviced land for sale at ningo prampram to schedule viewing or for further information information kindly contact the number on the property meqasa lands realestate ghana landsgh ghanano1propertywebsite ,0.3,0.7,positive,0.0,0.852,0.148,0.5423,204,28
17,Imagine if it’s #Ghana that a ref. stopped the match before they take corner kick. Or #VAR called off their  first goal. Like by now #FIFA catch fire.,imagine if it ghana that ref stopped the match before they take corner kick or var called off their first goal like by now fifa catch fire ,0.25,0.3333333333333333,negative,0.14,0.779,0.081,-0.2023,139,27
18,"High import duties increasingly making business environment tough – GUTA boss

#accra #ghana #guta #tuesdayvibe https://t.co/WRcMQi2V4A",high import duties increasingly making business environment tough guta boss accra ghana guta tuesdayvibe ,-0.11444444444444445,0.6866666666666666,negative,0.103,0.897,0.0,-0.128,105,14
19,"Looks like there are no replacements for SULE MUNTARI + MICHAEL ESSIEN, and no long shots for a goal.#ghanablackstars  #Ghana #wedontlose @garyalsmith",looks like there are no replacements for sule muntari michael essien and no long shots for goal ghanablackstars ghana wedontlose ,0.025,0.4,negative,0.184,0.711,0.105,-0.2263,129,20
20,"Purple Phantom Jenni and True Red Blood Nekoy Is Ready to Hear Us Now!! 

South Korea Between Ghana Is About to Begin!
#FIFAWorldCup #Qatar2022 #SouthKorea #Ghana #SouthKoreaVsGhana #Originalcharacter #Fanart https://t.co/fZFkyHSoPv",purple phantom jenni and true red blood nekoy is ready to hear us now south korea between ghana is about to begin fifaworldcup qatar2022 southkorea ghana southkoreavsghana originalcharacter fanart ,0.18333333333333335,0.3833333333333333,positive,0.0,0.836,0.164,0.6486,197,29
21,"Supporters reactions during #southkorea VS #ghana #fifa #worldcup, Celeb... https://t.co/R1DkfpZ9e2 via @YouTube https://t.co/ndkeN07VV0",supporters reactions during southkorea vs ghana fifa worldcup celeb via ,0.0,0.0,positive,0.0,0.756,0.244,0.4404,72,10
22,I wasn’t concerned with my skin color until I moved to #Africa and they started insulting me for being too light &amp; got called crazy living in #Ghana because I’m Black and they don’t think “fair skin” people who aren’t MIXED RACE by the way are Black so no I’m not proud AT ALL! https://t.co/dDF5qq9pLe,i wasn concerned with my skin color until moved to africa and they started insulting me for being too light amp got called crazy living in ghana because m black and they don think fair skin people who aren mixed race by the way are black so no m not proud at all ,-0.15416666666666667,0.7020833333333334,negative,0.193,0.768,0.039,-0.8395,263,53
23,"🚨 ICYMI 🚨

In a five-goal thriller, #Ghana overcame #SouthKorea to claim their first win at #Qatar2022 🇬🇭🇰🇷

We take a look at how the Ghanaians managed to control the game tactically after their first goal, forcing Paulo Bento's side long 👇
https://t.co/fDeQCJ9jQQ", icymi in five goal thriller ghana overcame southkorea to claim their first win at qatar2022 we take look at how the ghanaians managed to control the game tactically after their first goal forcing paulo bento side long ,0.16999999999999998,0.37333333333333335,positive,0.0,0.871,0.129,0.6369,219,37
24,"The Highlights of the match between #Ghana and #SouthKorea is worth watching in loops !!
Both fans had a treat from their players !!
#footballWorldCup2022
#WorldCup2022",the highlights of the match between ghana and southkorea is worth watching in loops both fans had treat from their players footballworldcup2022 worldcup2022,0.3,0.1,positive,0.0,0.82,0.18,0.5574,156,23
25,"We go more surprises for you. A star-studded lineup ✨

TRIBAVERSE 2023. Limited tickets are available, click the link in our bio. 

#Tribaverse #Afrobeats #Ghana #Kenya #Africa #ClimateChange #Blackstars #Music #Arts #Culture https://t.co/MSknsk0zaE",we go more surprises for you star studded lineup tribaverse 2023 limited tickets are available click the link in our bio tribaverse afrobeats ghana kenya africa climatechange blackstars music arts culture ,0.2761904761904762,0.34761904761904755,positive,0.057,0.876,0.066,0.0754,205,31
26,"Before the day ends , let me bless you with my thick thighs
#المغرب_بلجيكا #Ronaldo #ghanablackstars #Ghana https://t.co/gJU3yAL1RO",before the day ends let me bless you with my thick thighs ronaldo ghanablackstars ghana ,-0.30000000000000004,0.475,positive,0.0,0.833,0.167,0.4215,88,15
27,"@GRA_CG_Official Let's support our own, Go Ghana Go!
#BlackStars #BlackStarsAtQatar #KudusDream #Atizigi #kantamanto #TV3NewDay #Tax #Ghana   #BlackStarsAtQatar #KudusDream #Atizigi #kantamanto #TV3NewDay #Tax #Ghana https://t.co/C13lnXHyvk", cg official let support our own go ghana go blackstars blackstarsatqatar kudusdream atizigi kantamanto tv3newday tax ghana blackstarsatqatar kudusdream atizigi kantamanto tv3newday tax ghana ,0.6,1.0,positive,0.0,0.895,0.105,0.4019,192,24
28,Happy birthday to #Ghana goalkeeper Atizigi,happy birthday to ghana goalkeeper atizigi,0.8,1.0,positive,0.0,0.575,0.425,0.5719,42,6
29,"@FIFAWorldCup 4 Manchester United Players 🔴
2 from Bayern Munich 🔴 2 from PSG 🟣
Click on the link to see who is featured in our FIFA WC Round 2 Team.

#FIFAWorldCup #FIFAWorldCup2022 #sporticism #france #mbappe #england #ghana #brazil #messi #argentina #portugal https://t.co/NW7i1SDepY", 4 manchester united players 2 from bayern munich 2 from psg click on the link to see who is featured in our fifa wc round 2 team fifaworldcup fifaworldcup2022 sporticism france mbappe england ghana brazil messi argentina portugal ,-0.2,0.4,positive,0.0,0.922,0.078,0.4215,231,38
30,Come on #sen you can do it 🇲🇦🇸🇳🇲🇦🇸🇳🇲🇦🇸🇳 #Africa_United #sadiomane #Senegal #Dakar #Morocco #المغرب #السنغال #قطر_تبدع #QatarWorldCup2022 #Qatar #Ghana #Cameroun #Tunisie # https://t.co/koQUWtSZWt,come on sen you can do it africa united sadiomane senegal dakar morocco qatarworldcup2022 qatar ghana cameroun tunisie ,0.0,0.0,positive,0.0,0.859,0.141,0.4215,119,18
31,"@FIFAWorldCup 4 Manchester United Players 🔴
2 from Bayern Munich 🔴 2 from PSG 🟣
Click on the link to see who is featured in our FIFA WC Round 2 Team.

#FIFAWorldCup #FIFAWorldCup2022 #sporticism #france #mbappe #england #ghana #brazil #messi #argentina #portugal https://t.co/NW7i1SDepY", 4 manchester united players 2 from bayern munich 2 from psg click on the link to see who is featured in our fifa wc round 2 team fifaworldcup fifaworldcup2022 sporticism france mbappe england ghana brazil messi argentina portugal ,-0.2,0.4,positive,0.0,0.922,0.078,0.4215,231,38
32,"@Mordu2Foot 4 Manchester United Players 🔴
2 from Bayern Munich 🔴 2 from PSG 🟣
Click on the link to see who is featured in our FIFA WC Round 2 Team.

#FIFAWorldCup #FIFAWorldCup2022 #sporticism #france #mbappe #england #ghana #brazil #messi #argentina #portugal https://t.co/NW7i1SDMfw", 4 manchester united players 2 from bayern munich 2 from psg click on the link to see who is featured in our fifa wc round 2 team fifaworldcup fifaworldcup2022 sporticism france mbappe england ghana brazil messi argentina portugal ,-0.2,0.4,positive,0.0,0.922,0.078,0.4215,231,38
33,"@goal 4 Manchester United Players 🔴
2 from Bayern Munich 🔴 2 from PSG 🟣
Click on the link to see who is featured in our FIFA WC Round 2 Team.

#FIFAWorldCup #FIFAWorldCup2022 #sporticism #france #mbappe #england #ghana #brazil #messi #argentina #portugal https://t.co/NW7i1SDMfw", 4 manchester united players 2 from bayern munich 2 from psg click on the link to see who is featured in our fifa wc round 2 team fifaworldcup fifaworldcup2022 sporticism france mbappe england ghana brazil messi argentina portugal ,-0.2,0.4,positive,0.0,0.922,0.078,0.4215,231,38
34,"Design concept in Ghana is as unique as that in any other country. The key thing is to look into the future of the target group and ask yourself; ""what are they looking for?"" Once you can answer that question you can design for them. 
#tdtimawt #Ghana https://t.co/K1m7LdgLHf",design concept in ghana is as unique as that in any other country the key thing is to look into the future of the target group and ask yourself what are they looking for once you can answer that question you can design for them tdtimawt ghana ,0.0625,0.625,neutral,0.0,1.0,0.0,0.0,243,47
35,"@SkySportsPL 4 Manchester United Players 🔴
2 from Bayern Munich 🔴 2 from PSG 🟣
Click on the link to see who is featured in our FIFA WC Round 2 Team.

#FIFAWorldCup #FIFAWorldCup2022 #sporticism #france #mbappe #england #ghana #brazil #messi #argentina #portugal https://t.co/NW7i1SDMfw", 4 manchester united players 2 from bayern munich 2 from psg click on the link to see who is featured in our fifa wc round 2 team fifaworldcup fifaworldcup2022 sporticism france mbappe england ghana brazil messi argentina portugal ,-0.2,0.4,positive,0.0,0.922,0.078,0.4215,231,38
36,"#Ghana - Emirates National Oil denies a senior Ghanaian official’s claim that the company is in talks about supplying the West African nation with fuel in return for gold
https://t.co/jFvEF1hVPR", ghana emirates national oil denies senior ghanaian official claim that the company is in talks about supplying the west african nation with fuel in return for gold ,0.0,0.0,negative,0.097,0.903,0.0,-0.4215,165,27
37,"@goal 4 Manchester United Players 🔴
2 from Bayern Munich 🔴 2 from PSG 🟣
Click on the link to see who is featured in our FIFA WC Round 2 Team.

#FIFAWorldCup #FIFAWorldCup2022 #sporticism #france #mbappe #england #ghana #brazil #messi #argentina #portugal https://t.co/NW7i1SDMfw", 4 manchester united players 2 from bayern munich 2 from psg click on the link to see who is featured in our fifa wc round 2 team fifaworldcup fifaworldcup2022 sporticism france mbappe england ghana brazil messi argentina portugal ,-0.2,0.4,positive,0.0,0.922,0.078,0.4215,231,38
38,"How To Cook Easy &amp; Delicious Homemade Spicy Boiled Eggs Chicken Veggie K... https://t.co/SL7EJiUD9A via @YouTube 
#Spain 
#CostaRica 
#Germany 
#Japan 
#Belgium 
#Canada 
#Morocco 
#Croatia 
#Brazil 
#Serbia 
#Switzerland 
#Cameroon 
#Portugal 
#Ghana 
#Uruguay 
#KoreaRepublic",how to cook easy amp delicious homemade spicy boiled eggs chicken veggie via spain costarica germany japan belgium canada morocco croatia brazil serbia switzerland cameroon portugal ghana uruguay korearepublic,0.2777777777777778,0.9277777777777777,positive,0.0,0.804,0.196,0.765,209,29
39,"@ESPNFC 4 Manchester United Players 🔴
2 from Bayern Munich 🔴 2 from PSG 🟣
Click on the link to see who is featured in our FIFA WC Round 2 Team.

#FIFAWorldCup #FIFAWorldCup2022 #sporticism #france #mbappe #england #ghana #brazil #messi #argentina #portugal
https://t.co/NW7i1SDMfw", 4 manchester united players 2 from bayern munich 2 from psg click on the link to see who is featured in our fifa wc round 2 team fifaworldcup fifaworldcup2022 sporticism france mbappe england ghana brazil messi argentina portugal ,-0.2,0.4,positive,0.0,0.922,0.078,0.4215,231,38
40,"MTN TURBONET ROUTER FOR SALE; 
PRICE::650CEDIS
CONDITION: SLIGHTLY USED (3MONTHS)
#MTN #MTNGH #INTERNET #GHANA #KUDUS https://t.co/bLahSKBa29",mtn turbonet router for sale price 650cedis condition slightly used 3months mtn mtngh internet ghana kudus ,-0.16666666666666666,0.16666666666666666,neutral,0.0,1.0,0.0,0.0,107,16
41,#Ghana say no. Don't do it. https://t.co/ffcw7rE0wI, ghana say no don do it ,0.0,0.0,negative,0.306,0.694,0.0,-0.296,24,6
42,"4 Manchester United Players 🔴
2 from Bayern Munich 🔴 2 from PSG 🟣
Click on the link to see who is featured in our FIFA WC Round 2 Team.

#FIFAWorldCup #FIFAWorldCup2022 #sporticism #france #mbappe #england #ghana #brazil #messi #argentina #portugal 

https://t.co/NW7i1SDMfw",4 manchester united players 2 from bayern munich 2 from psg click on the link to see who is featured in our fifa wc round 2 team fifaworldcup fifaworldcup2022 sporticism france mbappe england ghana brazil messi argentina portugal ,-0.2,0.4,positive,0.0,0.922,0.078,0.4215,230,38
43,"Take a break and hydrate with Verna Purified Water 
#hydratewithverna

Verna Purified Water Recommended by Ghana Medical Association

#VernaPurifiedWater
#TwelliumGhana 
#ShareLove
#Ghana https://t.co/sq5xIEWlEZ",take break and hydrate with verna purified water hydratewithverna verna purified water recommended by ghana medical association vernapurifiedwater twelliumghana sharelove ghana ,0.0,0.0,positive,0.0,0.917,0.083,0.2023,177,21
44,"Take a break and hydrate with Verna Purified Water 
#hydratewithverna

Verna Purified Water Recommended by Ghana Medical Association

#VernaPurifiedWater
#TwelliumGhana 
#ShareLove
#Ghana https://t.co/tq10uANlq3",take break and hydrate with verna purified water hydratewithverna verna purified water recommended by ghana medical association vernapurifiedwater twelliumghana sharelove ghana ,0.0,0.0,positive,0.0,0.917,0.083,0.2023,177,21
45,"It's Tuesday and we are here to sprinkle some luxury on your timeline.

Visit https://t.co/m9Yk3s0Q5K to book now or 

Call 0242435515 \0307082484 for bookings or assistance.

#wakanowghana #LetsGo #trending #eastlegon #traveldeals #flight #explore #ghana #accra #beautiful #pss https://t.co/Hogx7vCUXc",it tuesday and we are here to sprinkle some luxury on your timeline visit to book now or call 0242435515 0307082484 for bookings or assistance wakanowghana letsgo trending eastlegon traveldeals flight explore ghana accra beautiful pss ,0.85,1.0,positive,0.0,0.9,0.1,0.5994,235,36
46,"Mohammed Kudus the star man as the black stars beat South Korea 3-2 👇
 https://t.co/UXU7mFQAGt 

#MohammedKudus #Ghana #SouthKorea #FIFAWorldCupQatar2022  #ghanablackstars #GHA #KOR #korvsgha",mohammed kudus the star man as the black stars beat south korea 3 2 mohammedkudus ghana southkorea fifaworldcupqatar2022 ghanablackstars gha kor korvsgha,-0.16666666666666666,0.43333333333333335,neutral,0.0,1.0,0.0,0.0,153,22
47,@RefereeTales @JoshBrewer_90 The extra 45 seconds was played because one of the #Ghana players thought he was being clever by slowing the game down., 90 the extra 45 seconds was played because one of the ghana players thought he was being clever by slowing the game down ,-0.09722222222222224,0.4055555555555556,positive,0.0,0.795,0.205,0.6597,122,23
48,We want just for our sister. The man's action taken has traumatized the nurse. #grnma #nurses #manhyiahospital  #ghana #lawyers #studentnurses #nationalservice https://t.co/62TiTnnnc1,we want just for our sister the man action taken has traumatized the nurse grnma nurses manhyiahospital ghana lawyers studentnurses nationalservice ,0.1,0.1,negative,0.117,0.826,0.057,-0.34,148,21
49,Best Ghana Lotto Prediction App https://t.co/7yxOI1Ihfg #Ghana #Lotto #Leak #App #Android9+,best ghana lotto prediction app ghana lotto leak app android9 ,1.0,0.3,positive,0.164,0.548,0.288,0.4215,62,10
50,"An African Giant was awaken Yesterday! 

Will be a lot of fun 

#Ghana #Korea",an african giant was awaken yesterday will be lot of fun ghana korea,0.09999999999999999,0.39999999999999997,positive,0.0,0.784,0.216,0.5106,68,13
51,"Ghana va Uruguay is the game to watch. But if #Ghana wants to win that match, they need to keep their emotions in check",ghana va uruguay is the game to watch but if ghana wants to win that match they need to keep their emotions in check,0.20000000000000004,0.3,positive,0.0,0.816,0.184,0.7351,116,24
52,"#Ghana Bishop Gabriel Akwasi Abiabo Mante says the #mining of iron ore, which was discovered in five districts in Oti region will be destructive to the #environment &amp; livelihood of the people. https://t.co/YLXrpmpFOy", ghana bishop gabriel akwasi abiabo mante says the mining of iron ore which was discovered in five districts in oti region will be destructive to the environment amp livelihood of the people ,-0.6,0.6,negative,0.112,0.838,0.05,-0.4939,191,32
53,https://t.co/pKbsM8RH2B SUBSCRIBE TO LINK  #Facebook #instagram  #hiphop #rapper #Oldschool #tbt #90s #blackcolledge #blackbusiness #BlackOwned #camgirlِ #africa #afrobeats #ampiano #Ghana #Johannesburg #Mozambique #london #miami #upstatenewyork #westernnewyork #yellowstone https://t.co/mHnBfJz3hN, subscribe to link facebook instagram hiphop rapper oldschool tbt 90s blackcolledge blackbusiness blackowned camgirl africa afrobeats ampiano ghana johannesburg mozambique london miami upstatenewyork westernnewyork yellowstone ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,227,25
54,"Visit https://t.co/jnJJTiSCgN or call 050717550 to sign up for our Fire and Burglary insurance policy today.

#QIC #nolooongthing #ghana #insurance #fireandburglary #fireinsurance #insurancecompany #insuranceindustry https://t.co/3m9YCP9Cdz",visit or call 050717550 to sign up for our fire and burglary insurance policy today qic nolooongthing ghana insurance fireandburglary fireinsurance insurancecompany insuranceindustry ,0.0,0.0,negative,0.098,0.902,0.0,-0.34,183,23
55,"Good day to Ghanaians only ! 
RT if you are from🇬🇭 #Ghana #ghanablackstars",good day to ghanaians only rt if you are from ghana ghanablackstars,0.35,0.8,positive,0.0,0.791,0.209,0.4404,67,12
56,"MC LS928 Laptop Stand 360°Rotatable Notebook Holder🇨🇦
https://t.co/cFgLPkCSm3

#GivingTuesday #定要幾個要搞 #要要個搞定要 #SpotifyWrapped #TrudeauLiedUnderOath #Pascal #somi #Ghana #Uruguay #Bruno #Toronto #torontorealestate #torontopolice #TorontoSun #TorontoCompanions https://t.co/7WTGwSjZs3",mc ls928 laptop stand 360 rotatable notebook holder givingtuesday spotifywrapped trudeauliedunderoath pascal somi ghana uruguay bruno toronto torontorealestate torontopolice torontosun torontocompanions ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,203,21
57,"Ghanaians encouraged to complete biometric capture for SIM registration as deadline nears

#biometrics #simcard #ghana 

https://t.co/24kEVuGLhg",ghanaians encouraged to complete biometric capture for sim registration as deadline nears biometrics simcard ghana ,0.1,0.4,positive,0.0,0.848,0.152,0.3612,115,15
58,"Incredible scenes as Ghana celebrate their hard fought win over South Korea in the #FIFAWorldCup 🎉🇬🇭

#PulseSports #Ghana https://t.co/kXdkwfpcWm",incredible scenes as ghana celebrate their hard fought win over south korea in the fifaworldcup pulsesports ghana ,0.4694444444444445,0.6138888888888889,positive,0.153,0.537,0.31,0.7003,114,17
59,"Fire destroys shops at Kantamanto market!!

#accra #kantamanto #ghana https://t.co/gljTJGT27w",fire destroys shops at kantamanto market accra kantamanto ghana ,0.0,0.0,negative,0.462,0.538,0.0,-0.7184,64,9
60,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/hLgEBHUayC, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
61,"Ghana: United Nations (UN) expert on toxics and human rights to conduct fact-finding visit @UNHumanRights #Africa #Ghana #HumanRights #Report
Read more: https://t.co/ICwborv4nE",ghana united nations un expert on toxics and human rights to conduct fact finding visit africa ghana humanrights report read more ,0.25,0.3,positive,0.0,0.877,0.123,0.4215,130,21
62,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/89g2EnoJgl, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
63,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/n2e3NCdEaE, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
64,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/4XataqZlwJ, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
65,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/ojGgm6P7NP, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
66,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/M3uk8TBNWs, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
67,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/2jpCnZIJr3, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
68,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/mHiXzxtF7c, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
69,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/WmDhHGaUmf, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
70,Take the revenge on suarez 🇬🇭 #ghana,take the revenge on suarez ghana,0.0,0.0,negative,0.405,0.595,0.0,-0.5267,32,6
71,#Ghana plans to #buyoil with #gold instead of US$ - #africa #trade #forex #economy https://t.co/YNSDq1LbDx, ghana plans to buyoil with gold instead of us africa trade forex economy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,13
72,"#BlackStarsDiary | 𝐐𝐀𝐓𝐀𝐑 𝟐𝟎𝟐𝟐
#SouthKorea gave #Ghana a difficult time in their second Group H match on Monday afternoon at the Education City Stadium, according ......

#MaxTV #MaxFM #MaxOnline #FIFAWorldCupQatar2022 #MaxSports #MaxWorldCup  

https://t.co/xsZTxGdaeI", blackstarsdiary southkorea gave ghana difficult time in their second group match on monday afternoon at the education city stadium according maxtv maxfm maxonline fifaworldcupqatar2022 maxsports maxworldcup ,-0.25,0.5,negative,0.091,0.909,0.0,-0.3612,208,26
73,"We´ve seen some beautiful football kits this World Cup! ⚽ But if we had to pick 3, it would be #Ghana, #France and #Brazil. ✨

What´s your 🔝3️⃣?!

#FIFAWorldCup #FIFAWorldCup2022 #Footbal #GeniusBet #WorldCup2022 #YourTrustedBets https://t.co/K7xg6l0wgg",we ve seen some beautiful football kits this world cup but if we had to pick 3 it would be ghana france and brazil what your 3 fifaworldcup fifaworldcup2022 footbal geniusbet worldcup2022 yourtrustedbets ,0.85,1.0,positive,0.0,0.924,0.076,0.3506,204,33
74,This man went through 5 stages of grief #FIFAWorldCup #korea #Ghana https://t.co/qQQfhYDmpg,this man went through 5 stages of grief fifaworldcup korea ghana ,-0.8,0.2,negative,0.262,0.738,0.0,-0.4939,65,11
75,"The pictures with players and their mothers at the World Cup are so adorable 😍

Ghana’s Kamaldeen Sulemana, with his mum on his right. 

On his left the mother  of Mohammed Kudus. ❤️🇬🇭

#Ghana #GHA #BlackStars #BringBackTheLove #Qatar2022 #FIFAWorldCup #FIFAWorldCupQatar2022 https://t.co/uceLMXdXjJ",the pictures with players and their mothers at the world cup are so adorable ghana kamaldeen sulemana with his mum on his right on his left the mother of mohammed kudus ghana gha blackstars bringbackthelove qatar2022 fifaworldcup fifaworldcupqatar2022 ,0.2619047619047619,0.5119047619047619,positive,0.0,0.9,0.1,0.6269,252,38
